Time,x,y,z
08-06-2024 12:50:38,0.24405001, 0.21300001, 9.801001
08-06-2024 12:50:48,0.009000001, 0.25605002, 9.834001
08-06-2024 12:50:58,0.058950003, 0.273, 9.733951
08-06-2024 12:51:09,0.045, 0.25905, 9.82005
08-06-2024 12:51:19,0.021000002, 0.273, 9.861
08-06-2024 12:51:29,0.010950001, 0.26595002, 9.80805
08-06-2024 12:51:39,0.052050002, 0.25905, 9.739051
08-06-2024 12:51:49,0.021000002, 0.264, 9.81795
08-06-2024 12:51:59,0.033, 0.26595002, 9.82695
08-06-2024 12:52:09,0.016050002, 0.26595002, 9.81
08-06-2024 12:52:19,-0.00705, 0.23205002, 9.802951
08-06-2024 12:58:24,-0.0139500005, 0.264, 9.82005
08-06-2024 12:58:34,0.0139500005, 0.25395, 9.71895
08-06-2024 12:58:44,-0.0049500004, 0.252, 9.8539505
08-06-2024 12:58:54,-0.031050002, 0.264, 9.94005
08-06-2024 01:00:50,-0.009000001, 0.261, 9.8220005
08-06-2024 01:01:00,-0.0019500001, 0.23700002, 9.81795
08-06-2024 01:01:10,-0.0049500004, 0.28500003, 9.846001
08-06-2024 01:01:20,-0.0019500001, 0.26805001, 9.825001
08-06-2024 01:02:08,-0.0139500005, 0.24705002, 9.778951
08-06-2024 01:04:26,-0.045, 0.264, 9.8539505
08-06-2024 01:11:01,-0.021000002, 0.252, 9.80805
08-06-2024 01:18:31,-0.028050002, 0.26805001, 9.765
08-06-2024 01:19:23,-2.39205, 5.2759504, 6.558
08-06-2024 01:19:33,-0.069000006, 1.5139501, 7.54995
08-06-2024 01:19:43,0.177, 2.6779501, 9.259951
08-06-2024 01:19:53,1.7209501, 3.9109502, 8.950951
08-06-2024 01:20:04,9.663, 2.3380501, 2.0269501
08-06-2024 01:20:14,-0.031050002, 4.3450503, 8.7949505
08-06-2024 01:20:27,8.940001, -0.90705, 1.0489501
08-06-2024 01:20:47,9.33495, -3.0529501, 0.93495005
08-06-2024 01:22:05,9.028951, -2.667, 0.25005
08-06-2024 01:24:02,5.664, -0.531, 5.9950504
08-06-2024 01:24:43,-0.00705, -1.23705, 6.735
08-06-2024 01:24:53,4.4040003, -4.23105, 7.99695
08-06-2024 01:26:50,9.25395, 0.9799501, -1.5190501
08-06-2024 01:32:02,-0.009000001, -0.03195, -10.003051
08-06-2024 01:34:56,0.006, -0.058950003, -9.993
08-06-2024 01:35:06,0.00405, -0.043950003, -9.98805
