Time,x,y,z
26-03-2024 06:44:18,-1.06095, 4.7250004, 8.818951
26-03-2024 06:44:28,-1.76505, 3.66, -9.8880005
26-03-2024 06:44:39,7.3090506, -3.69195, -4.18695
26-03-2024 06:44:49,6.2569504, -7.5379505, -3.80205
26-03-2024 06:44:59,14.08905, -7.4110503, -4.932
26-03-2024 06:45:09,6.255, -6.4080005, -5.1379504
26-03-2024 06:49:52,9.45705, -0.10695001, -2.6520002
26-03-2024 06:50:03,9.555, -0.03195, -2.6449502
26-03-2024 06:50:13,6.9979506, -1.07895, -7.04895
26-03-2024 06:50:23,7.9750504, -0.43695003, -5.9740505
26-03-2024 06:50:34,9.711, -1.5289501, 0.23295002
26-03-2024 06:51:03,7.8139505, 4.905, -3.72795
26-03-2024 06:51:13,8.787001, 2.01195, -3.6079502
26-03-2024 06:51:23,9.43095, 1.626, -3.3730502
26-03-2024 06:51:33,7.2349505, 2.7949502, -6.5539503
26-03-2024 06:51:43,8.51595, 1.2529501, -4.7310004
26-03-2024 06:53:07,0.006, 4.6420503, 9.44205
26-03-2024 06:53:17,1.3429501, 2.3089502, 9.14505
26-03-2024 06:53:27,-5.274, -5.7109504, -1.4760001
26-03-2024 06:53:37,-6.5140505, -5.8980002, -4.077
26-03-2024 06:54:07,-1.8769501, 2.148, 10.179001
26-03-2024 06:54:17,-0.057000004, 2.0329502, 9.537001
26-03-2024 06:54:32,-0.23205002, -1.3660501, -11.4199505
26-03-2024 06:59:34,0.08595, 0.08595, -10.009951
26-03-2024 07:01:46,0.105000004, 0.08400001, -10.021951
26-03-2024 07:02:47,0.112050004, 0.105000004, -10.026
26-03-2024 07:04:36,0.11895001, 0.093, -10.042951
26-03-2024 07:04:57,0.12900001, 0.076950006, -10.009951
26-03-2024 07:05:35,-3.8800502, 4.90695, 5.20695
26-03-2024 07:05:47,0.79200006, 5.4750004, 8.160001
26-03-2024 07:05:58,0.34905002, 4.275, 8.90505
26-03-2024 07:06:40,-1.11105, 3.0990002, 9.460951
26-03-2024 07:06:55,1.79295, 4.4170504, 8.85495
26-03-2024 07:08:02,-1.0030501, 4.491, 8.48595
26-03-2024 07:08:17,0.71805006, 0.37605003, -6.6450005
26-03-2024 07:09:49,0.16695, 0.060000002, -9.991051
26-03-2024 07:16:51,0.14505, 0.06705, -10.005
26-03-2024 07:17:37,0.15300001, 0.049950004, -10.003051
26-03-2024 07:21:16,0.12900001, 0.08205, -10.015051
26-03-2024 07:23:49,-2.6440501, 6.8040004, -3.9430501
26-03-2024 07:25:40,-0.48795003, 5.12505, 8.344951
26-03-2024 07:26:11,-0.63195, 5.22795, 8.71605
26-03-2024 07:26:26,-1.6690501, 5.1469502, 8.400001
26-03-2024 07:26:57,-1.8529501, 5.2120504, 8.09595
26-03-2024 07:27:20,-1.30305, 4.809, 8.472
26-03-2024 07:28:26,-1.4940001, 4.8910503, 8.199
26-03-2024 07:28:47,-1.23105, 4.704, 8.953051
26-03-2024 07:29:02,-1.1850001, 4.6080003, 8.29695
26-03-2024 07:29:23,-2.3730001, 4.122, 8.70405
26-03-2024 07:29:41,-1.5280501, 4.254, 8.68995
26-03-2024 07:29:53,-0.51900005, 5.04405, 8.47605
26-03-2024 07:30:07,-1.5850501, 5.1450005, 8.029051
26-03-2024 07:30:20,-2.3040001, 4.90005, 8.26305
26-03-2024 07:30:46,-0.58905005, 4.2010503, 8.821051
26-03-2024 07:31:00,-0.81600004, 3.9180002, 8.977051
26-03-2024 07:31:34,2.56695, 3.2050502, 8.932051
26-03-2024 07:32:02,-0.77295005, 4.42395, 8.59395
26-03-2024 07:32:14,-0.20805001, 4.2010503, 8.85495
26-03-2024 07:33:01,0.162, 3.3390002, 8.950951
26-03-2024 07:34:01,-0.81195, 3.6760502, 9.118051
26-03-2024 07:34:12,0.67905, 3.1879501, 9.21195
26-03-2024 07:34:32,1.18005, 3.5730002, 9.027
