Time,x,y,z
27-03-2024 03:44:43,1.02195, 5.64795, 7.8420005
27-03-2024 03:44:53,0.99600005, 6.12195, 7.7320504
27-03-2024 03:45:04,0.37995002, 4.7400002, 7.5520506
27-03-2024 03:45:14,3.51795, 6.3640504, 6.73995
27-03-2024 03:45:24,1.7910001, 5.5230002, 7.9230003
27-03-2024 03:45:39,1.5630001, 6.3160505, 6.7189503
27-03-2024 03:45:55,0.75105006, 6.471, 7.48995
27-03-2024 03:46:14,1.3980001, 5.80305, 7.0950003
27-03-2024 03:46:44,1.71405, 5.2639503, 7.9180503
27-03-2024 03:46:55,1.7209501, 6.1000504, 7.5589504
27-03-2024 03:47:25,1.6969501, 6.56505, 7.0420504
27-03-2024 03:47:35,1.4430001, 5.5350003, 7.8540006
27-03-2024 03:47:45,1.1230501, 6.2029505, 7.5690002
27-03-2024 03:47:58,0.83295006, 5.4100504, 8.035951
27-03-2024 03:48:14,0.80895007, 5.9230504, 7.8510003
27-03-2024 03:48:25,0.186, 5.688, 7.4730005
27-03-2024 03:48:36,1.09605, 6.61005, 6.93195
27-03-2024 03:49:13,0.588, 5.82495, 7.7629504
27-03-2024 03:49:23,0.48795003, 5.3749504, 8.09595
27-03-2024 03:49:33,1.09605, 6.0379505, 7.6450505
27-03-2024 03:49:53,1.743, 6.4090505, 7.2910504
27-03-2024 03:50:06,1.52505, 6.7950006, 6.76905
27-03-2024 03:50:28,1.7020501, 6.5839505, 7.0950003
27-03-2024 03:51:05,2.11395, 6.6439505, 7.0249505
27-03-2024 03:51:35,2.6580002, 5.68305, 7.602
27-03-2024 03:51:52,2.2030501, 7.3819504, 6.3019505
27-03-2024 03:52:35,2.2050002, 6.63705, 6.54405
27-03-2024 03:52:46,0.56895, 6.7830005, 7.18305
27-03-2024 03:52:56,0.85695004, 6.9480004, 7.1640005
27-03-2024 03:53:11,1.1539501, 6.10995, 7.5540004
27-03-2024 03:53:23,0.75105006, 6.4570503, 7.2619505
27-03-2024 03:54:27,1.47, 5.51595, 8.304001
27-03-2024 03:54:38,1.05795, 5.46105, 8.031
27-03-2024 03:54:51,0.35895002, 6.5550003, 7.26
27-03-2024 03:55:35,0.49305, 6.2029505, 7.6740003
27-03-2024 03:55:54,0.69105005, 5.4420004, 8.232
27-03-2024 03:56:06,0.13305001, 4.5750003, 8.409
27-03-2024 03:56:29,6.6720004, -2.7580502, 5.511
27-03-2024 03:58:19,5.24205, -7.59105, -3.9240003
27-03-2024 03:58:32,2.0059502, 3.1900501, 11.443951
27-03-2024 03:58:45,5.7979503, -8.128051, -0.83895004
27-03-2024 03:58:56,6.6670504, -7.3900504, -2.36505
27-03-2024 03:59:18,0.768, 2.5560002, 9.760051
27-03-2024 04:00:11,1.9270501, -9.723001, -0.86295
27-03-2024 04:01:53,1.8840001, 1.0830001, 5.964
27-03-2024 04:02:03,0.61995006, 1.7149501, 9.669001
27-03-2024 04:02:13,1.22595, 2.766, 8.87205
27-03-2024 04:02:23,-0.021000002, -0.08805001, -9.997951
27-03-2024 04:02:37,-0.061950002, -0.09195001, -10.017
27-03-2024 04:02:47,-0.052050002, -0.10395, -9.979051
27-03-2024 04:02:59,-0.061950002, -0.09705, -10.009951
27-03-2024 04:07:23,-0.036000002, 0.079050004, -10.003051
27-03-2024 04:12:22,-0.09105001, 0.06705, -10.024051
27-03-2024 04:14:06,8.278951, -0.0010500001, 3.4060502
27-03-2024 04:14:19,1.1149501, 4.3450503, 8.75895
27-03-2024 04:14:29,1.4479501, 5.0820003, 8.39295
27-03-2024 04:14:39,1.48695, 5.01, 8.448
