Time,x,y,z
30-05-2024 08:01:57,0.11895001, 0.24705002, 9.784051
30-05-2024 08:02:07,0.112050004, 0.25605002, 9.802951
30-05-2024 08:02:17,-0.46905002, 4.9750504, 6.5599504
30-05-2024 08:02:27,-0.381, 5.1160502, 8.203051
30-05-2024 08:02:37,-0.81900007, 4.01205, 8.89995
30-05-2024 08:03:49,-1.03005, 5.5849504, 8.08605
30-05-2024 08:05:39,1.2349501, 3.7099502, 9.135
30-05-2024 08:05:51,-4.5100503, -0.84195006, 8.77095
30-05-2024 08:06:17,-0.109950006, 0.34500003, 9.769951
30-05-2024 08:07:16,6.0660005, 8.016001, 5.41095
30-05-2024 08:07:36,-0.15300001, 5.5300503, 8.203051
30-05-2024 08:07:52,0.22395001, 4.7470503, 9.159
30-05-2024 08:08:02,-0.558, 4.89795, 8.565001
30-05-2024 08:08:14,0.28905, 4.33005, 9.142051
30-05-2024 08:08:39,0.021000002, 4.872, 8.554951
30-05-2024 08:08:56,-0.22200002, 4.8120003, 8.71605
30-05-2024 08:09:23,-0.21300001, 4.48605, 8.629951
30-05-2024 08:09:34,-0.39195, 4.86, 8.812051
30-05-2024 08:11:31,0.13800001, 0.23700002, 9.80805
30-05-2024 08:11:46,0.294, 0.105000004, 9.86295
30-05-2024 08:12:34,0.105000004, 0.24000001, 9.84195
30-05-2024 08:12:44,0.46605003, 3.5470502, 9.18105
30-05-2024 08:13:16,-0.15495001, 0.63000005, 9.861
30-05-2024 08:13:30,-0.735, 6.6150002, 6.702
30-05-2024 08:13:40,-5.7910504, 7.5799503, -1.3470001
30-05-2024 08:14:12,-1.3120501, 5.7979503, 9.339001
30-05-2024 08:14:23,-5.295, 7.0969505, 3.5310001
30-05-2024 08:15:14,6.28095, 7.6380005, -0.41505003
30-05-2024 08:15:53,6.234, 7.5660005, -0.078
30-05-2024 08:17:11,6.327, 7.5370502, 0.28095
30-05-2024 08:17:28,6.12795, 7.7530503, 0.01695
30-05-2024 08:17:49,-5.9110503, 9.075001, 2.874
30-05-2024 08:18:00,0.92100006, 6.162, 7.5090003
30-05-2024 08:18:11,0.042000003, 5.631, 8.46405
30-05-2024 08:18:28,-0.19800001, 6.2130003, 7.5540004
30-05-2024 08:18:40,-0.48105, 6.1189504, 7.8780003
30-05-2024 08:18:51,0.31800002, 3.6000001, 9.051001
30-05-2024 08:19:24,-3.62805, 3.528, -9.672001
30-05-2024 08:19:57,0.19095, 0.08595, -9.969001
30-05-2024 08:20:36,0.15, 0.097950004, -9.933001
30-05-2024 08:22:45,-13.527, 3.2359502, 0.72405005
30-05-2024 08:24:33,0.20505, 5.0800505, 10.036051
30-05-2024 08:24:57,-0.67995006, 5.5519505, 7.7839503
30-05-2024 08:25:40,-0.38805002, 4.14795, 9.298051
30-05-2024 08:26:00,-0.20295002, 3.969, 8.6320505
30-05-2024 08:26:37,-0.52395004, 4.5550504, -11.467951
30-05-2024 08:27:24,0.85905004, -0.73395, -10.005
30-05-2024 08:28:32,0.282, 0.055050004, 9.74295
30-05-2024 08:29:00,1.40505, 6.5550003, 7.04895
30-05-2024 08:30:02,0.74895006, 7.5540004, 5.87505
30-05-2024 08:30:12,0.049950004, 9.06795, 4.3039503
30-05-2024 08:30:27,0.0019500001, 8.184, -4.88205
30-05-2024 08:31:00,1.8240001, 7.044, 6.7639503
30-05-2024 08:31:20,2.025, 6.9960003, 4.05795
30-05-2024 08:31:45,0.70095, 6.9910502, 6.7860003
30-05-2024 08:32:17,-0.024, 8.62695, 3.4609501
30-05-2024 08:32:30,-2.5819502, -0.41595003, 7.7790003
30-05-2024 08:34:15,0.117000006, 0.22005, 9.83205
30-05-2024 08:34:25,0.109050006, 0.20400001, 9.74295
30-05-2024 08:35:34,0.12900001, 0.23205002, 9.8220005
30-05-2024 08:37:07,0.08295, 0.22005, 9.858001
30-05-2024 08:38:19,0.08295, 0.24405001, 9.8560505
30-05-2024 08:38:53,0.094950005, 0.24705002, 9.745951
30-05-2024 08:39:04,0.09705, 0.25605002, 9.7890005
