Time,x,y,z
30-04-2024 06:10:01,-0.294, 3.52095, 9.693001
30-04-2024 06:10:12,-2.24895, 4.27005, 7.5540004
30-04-2024 06:10:22,0.19800001, 0.049950004, -9.993
30-04-2024 06:10:32,0.17205001, 0.060000002, -9.979051
30-04-2024 06:10:42,0.13605, 0.08400001, -9.84
30-04-2024 06:21:08,-6.6940503, 2.7210002, 7.7560506
30-04-2024 06:21:18,-4.7389503, -6.4819503, -5.0740504
30-04-2024 06:21:28,-5.28105, -7.21005, -4.33395
30-04-2024 06:21:39,-5.3430004, -7.2340503, -4.1610003
30-04-2024 06:22:48,-3.9420002, 7.8490505, 3.31995
30-04-2024 06:22:58,2.6940002, 4.1410503, 9.922951
30-04-2024 06:23:08,6.7320004, -9.295951, -0.46605003
30-04-2024 06:23:18,0.79200006, 3.5640001, 8.448
30-04-2024 06:23:28,-5.38605, 3.48495, 7.1950502
30-04-2024 06:23:38,0.117000006, 0.07005, -10.000051
30-04-2024 06:23:48,0.13095, 0.09105001, -10.009951
30-04-2024 06:33:36,0.094950005, 0.072000004, -10.030951
30-04-2024 06:49:38,0.093, 0.08895, -10.000051
30-04-2024 06:50:34,0.102000006, 0.09105001, -10.000051
30-04-2024 07:04:49,-5.03205, 2.3470502, -1.20105
30-04-2024 07:05:01,-5.43195, 6.97695, 3.24795
30-04-2024 07:08:53,0.109050006, 0.064950004, -10.012051
30-04-2024 07:25:05,0.12105001, 0.048, -9.997951
30-04-2024 07:25:51,-1.9470001, 4.10505, 8.469001
30-04-2024 07:27:26,-2.778, 6.16695, 6.4069505
30-04-2024 07:27:41,-4.57905, -8.472, -3.591
30-04-2024 07:28:22,0.85005003, 6.61005, 4.6639504
30-04-2024 07:28:56,-8.037001, 5.4700503, 0.537
30-04-2024 07:29:07,5.4019504, 4.66995, 7.42005
30-04-2024 07:30:46,5.0790005, 7.4800506, -3.9190502
30-04-2024 07:34:38,1.422, 1.5330001, 8.838
30-04-2024 07:38:47,4.1740503, 6.22695, 5.14305
30-04-2024 07:39:52,-0.14595, 4.788, -10.965
30-04-2024 07:42:07,-7.077, 6.26805, 1.3660501
30-04-2024 07:44:51,-1.91295, 6.0880504, 2.93895
30-04-2024 07:45:14,-0.14595, 9.08205, 3.10695
30-04-2024 07:46:18,-2.06205, 3.63105, -10.12695
30-04-2024 07:48:08,0.124050006, 0.096, -9.94995
30-04-2024 07:51:07,0.117000006, 0.097950004, -9.967051
30-04-2024 07:56:13,0.117000006, 0.08205, -10.017
30-04-2024 08:00:22,-5.5920005, 5.9089503, 7.11105
30-04-2024 08:00:45,0.13305001, 0.34695002, 9.81
30-04-2024 08:01:22,0.14295001, 0.33495003, 9.82695
30-04-2024 08:02:24,0.14505, 0.29895002, 9.84405
30-04-2024 08:04:21,0.14805001, 0.29205, 9.82695
30-04-2024 08:04:49,-1.4460001, 0.35895002, 10.62705
30-04-2024 08:05:03,0.588, 3.6409502, 10.39995
30-04-2024 08:05:14,1.302, 3.93705, 9.84405
30-04-2024 08:05:24,1.2379501, 3.3360002, 9.16905
30-04-2024 08:05:35,0.28395, 3.9520502, 7.9690504
30-04-2024 08:05:54,0.093, 3.7440002, 9.481951
30-04-2024 08:06:04,0.31800002, 4.4380503, 12.142951
30-04-2024 08:12:30,13.906951, -0.41295, 2.3740501
30-04-2024 08:14:25,7.35405, 5.6140504, 1.5000001
30-04-2024 08:14:36,8.014951, -4.236, -3.3919501
30-04-2024 08:15:22,1.0720501, 1.8349501, 9.70995
30-04-2024 08:15:36,1.6830001, 8.160001, 5.6650505
30-04-2024 08:15:46,5.9100003, 0.261, 4.80495
30-04-2024 08:15:59,9.057, -8.10795, -3.153
30-04-2024 08:16:30,4.6140003, -8.72595, -0.21405001
30-04-2024 08:18:45,-0.97200006, 8.092951, 1.38495
30-04-2024 08:19:04,9.076051, -2.0629501, -3.1380002
30-04-2024 08:19:46,-0.049950004, 9.549001, 2.23305
30-04-2024 08:20:41,6.4560003, -6.29505, -4.0219502
30-04-2024 08:21:21,6.636, 5.04405, 0.77895004
30-04-2024 08:21:31,4.2120004, -5.721, -6.20205
30-04-2024 08:25:04,16.38405, 0.50295, 0.108
30-04-2024 08:25:15,0.37305, 2.7520502, 9.588
30-04-2024 08:25:38,4.1470504, 5.6070004, 6.19395
30-04-2024 08:26:41,-3.492, 3.7909503, -4.254
30-04-2024 08:27:01,12.762001, 3.2569501, -0.01995
30-04-2024 08:28:26,-0.48405004, -2.5540502, 3.6340501
30-04-2024 08:28:41,5.89305, 3.5380502, -7.3420506
30-04-2024 08:30:18,10.38405, -6.9349504, -2.29305
30-04-2024 08:30:56,-2.979, 2.0359502, 6.70695
30-04-2024 08:31:22,8.6980505, -1.5409501, -1.9380001
30-04-2024 08:32:12,12.4459505, 10.30605, -0.45405003
30-04-2024 08:32:22,10.132951, 0.94395006, -3.59805
30-04-2024 08:35:11,-7.4940004, 3.1620002, 7.0350003
30-04-2024 08:35:44,-3.0679502, 3.7339501, 6.2419505
30-04-2024 08:35:57,0.37500003, 5.64795, 8.503051
30-04-2024 08:36:11,0.20805001, 9.132, 5.20695
30-04-2024 08:36:35,-0.97905004, 5.51805, 8.08395
30-04-2024 08:36:55,9.900001, 8.866051, -0.23295002
30-04-2024 08:37:13,11.737051, -1.6110001, 3.828
30-04-2024 08:37:43,6.8560505, -4.46295, -0.00795
30-04-2024 08:37:58,5.151, -5.8980002, -3.4020002
30-04-2024 08:38:14,18.417002, -2.154, 5.55
30-04-2024 08:38:35,8.31495, 1.96905, 4.51695
30-04-2024 08:38:58,3.3690002, 5.6070004, 4.36695
30-04-2024 08:39:17,5.46705, 9.601951, 7.7560506
30-04-2024 08:39:35,1.8769501, 9.705001, 2.47005
30-04-2024 08:39:45,2.8570502, 8.233951, 3.83295
30-04-2024 08:40:13,4.38, 7.7980504, 1.9399501
30-04-2024 08:40:25,5.24205, 7.36005, 3.0970502
30-04-2024 08:40:46,-1.57605, 8.96895, 0.76905006
30-04-2024 08:41:50,1.5799501, 7.3290005, 7.2960005
30-04-2024 08:42:04,6.162, 3.4300501, -2.5420501
30-04-2024 08:42:32,6.7249503, 1.3099501, -0.77205
