timestamp,Infrared to Red Signal Ratio
03/14/24 00:00:04,0
03/14/24 00:01:04,0
03/14/24 00:02:04,0
03/14/24 00:03:04,0
03/14/24 00:04:04,0
03/14/24 00:05:04,0
03/14/24 00:06:04,0
03/14/24 00:07:04,0
03/14/24 00:08:04,0
03/14/24 00:09:04,0
03/14/24 00:10:04,0
03/14/24 00:11:04,0
03/14/24 00:12:04,0
03/14/24 00:13:04,0
03/14/24 00:14:04,0
03/14/24 00:15:04,0
03/14/24 00:16:04,0
03/14/24 00:17:04,0
03/14/24 00:18:04,0
03/14/24 00:19:04,0
03/14/24 00:20:04,0
03/14/24 00:21:04,0
03/14/24 00:22:04,0
03/14/24 00:23:04,0
03/14/24 00:24:04,0
03/14/24 00:25:04,0
03/14/24 00:26:04,0
03/14/24 00:27:04,0
03/14/24 00:28:04,0
03/14/24 00:29:04,0
03/14/24 00:30:04,0
03/14/24 00:31:04,0
03/14/24 00:32:04,0
03/14/24 00:33:04,0
03/14/24 08:10:43,0
03/14/24 08:11:43,0
03/14/24 08:12:43,0
03/14/24 08:13:43,0
03/14/24 08:14:43,0
03/14/24 08:15:43,0
03/14/24 08:16:43,0
03/14/24 08:17:43,0
03/14/24 08:18:43,0
03/14/24 08:19:43,0
03/14/24 08:20:43,0
03/14/24 08:21:43,0
03/14/24 08:22:43,0
03/14/24 10:34:20,0
03/14/24 10:35:20,1
03/14/24 10:36:20,-4
03/14/24 10:37:20,11
03/14/24 10:38:20,0
03/14/24 10:39:20,-8
03/14/24 10:40:20,0
03/14/24 10:41:20,10
03/14/24 10:42:20,11
03/14/24 10:43:20,0
03/14/24 10:44:20,0
03/14/24 10:45:20,0
03/14/24 10:46:20,0
03/14/24 10:47:21,0
03/14/24 10:48:21,0
03/14/24 10:49:21,-4
03/14/24 10:50:21,-5
03/14/24 10:51:21,-9
03/14/24 10:52:21,0
03/14/24 10:53:21,19
03/14/24 10:54:21,0
03/14/24 10:55:21,26
03/14/24 10:56:21,-8
03/14/24 10:57:21,0
03/14/24 10:58:21,0
03/14/24 10:59:21,0
03/14/24 11:00:21,-4
03/14/24 11:01:21,-29
03/14/24 11:02:21,24
03/14/24 11:03:21,42
03/14/24 11:04:21,-30
03/14/24 11:05:21,20
03/14/24 11:06:21,0
03/14/24 11:07:21,0
03/14/24 11:08:21,10
03/14/24 11:09:21,1
03/14/24 11:50:29,24
03/14/24 11:51:29,6
03/14/24 11:52:29,4
03/14/24 11:53:29,7
03/14/24 11:54:29,0
03/14/24 11:55:29,0
03/14/24 11:56:29,0
03/14/24 11:57:30,0
03/14/24 11:58:30,0
03/14/24 11:59:30,-24
03/14/24 12:00:30,-49
03/14/24 12:01:30,12
03/14/24 12:02:30,36
03/14/24 12:03:30,-8
03/14/24 12:04:30,2
03/14/24 12:05:30,0
03/14/24 12:06:31,-29
03/14/24 12:07:31,11
03/14/24 12:08:31,-22
03/14/24 12:09:32,30
03/14/24 12:10:32,-17
03/14/24 12:11:32,17
03/14/24 12:12:32,-30
03/14/24 12:13:32,7
03/14/24 12:14:32,0
03/14/24 12:15:32,-1
03/14/24 12:16:32,-2
03/14/24 12:17:32,-8
03/14/24 12:18:32,-6
03/14/24 12:19:32,0
03/14/24 12:20:32,7
03/14/24 12:21:32,-2
03/14/24 12:22:32,-38
03/14/24 12:23:32,8
03/14/24 12:24:32,3
03/14/24 12:25:32,0
03/14/24 12:26:32,19
03/14/24 12:27:32,6
03/14/24 12:28:32,4
03/14/24 12:29:32,0
03/14/24 12:30:32,0
03/14/24 12:31:32,0
03/14/24 12:32:33,4
03/14/24 12:33:33,-57
03/14/24 12:34:33,5
03/14/24 12:35:33,41
03/14/24 12:36:33,0
03/14/24 12:37:33,0
03/14/24 12:38:33,2
03/14/24 12:39:33,0
03/14/24 12:40:34,0
03/14/24 12:41:34,-9
03/14/24 12:42:34,0
03/14/24 12:43:34,0
03/14/24 12:44:34,4
03/14/24 12:45:34,-28
03/14/24 12:46:34,4
03/14/24 12:47:34,43
03/14/24 16:25:12,-2
03/14/24 16:26:12,-10
03/14/24 16:27:12,-6
03/14/24 16:28:12,0
03/14/24 16:29:12,-1
03/14/24 16:30:12,3
03/14/24 16:31:12,-1
03/14/24 16:32:12,0
03/14/24 16:33:12,0
03/14/24 16:34:12,0
03/14/24 16:35:12,-5
03/14/24 16:36:12,-1
03/14/24 16:37:12,0
03/14/24 16:38:12,4
03/14/24 16:39:12,0
03/14/24 16:40:12,9
03/14/24 16:41:12,-38
03/14/24 16:42:12,-25
03/14/24 16:43:12,0
03/14/24 16:44:12,2
03/14/24 16:45:12,30
03/14/24 16:46:12,-27
03/14/24 16:47:12,-1
03/14/24 16:48:12,0
03/14/24 16:49:12,0
03/14/24 16:50:12,0
03/14/24 16:51:12,0
03/14/24 16:52:12,12
03/14/24 16:53:12,13
03/14/24 16:54:14,-2
03/14/24 16:55:14,43
03/14/24 16:56:14,0
03/14/24 16:57:14,-1
03/14/24 16:58:14,39
03/14/24 16:59:14,0
03/14/24 17:00:14,0
