timestamp,Infrared to Red Signal Ratio
03/29/24 00:01:00,0
03/29/24 00:02:00,0
03/29/24 00:03:00,0
03/29/24 00:04:00,0
03/29/24 00:05:00,0
03/29/24 00:06:00,0
03/29/24 00:07:00,0
03/29/24 00:08:00,0
03/29/24 00:09:00,0
03/29/24 00:10:00,0
03/29/24 00:11:00,0
03/29/24 00:12:00,0
03/29/24 00:13:00,0
03/29/24 00:14:00,0
03/29/24 00:15:00,0
03/29/24 00:16:00,0
03/29/24 00:17:00,0
03/29/24 00:18:00,0
03/29/24 00:19:00,0
03/29/24 00:20:00,0
03/29/24 00:21:00,0
03/29/24 00:22:00,0
03/29/24 00:23:00,0
03/29/24 00:24:00,0
03/29/24 00:25:00,-4
03/29/24 00:26:00,0
03/29/24 00:27:00,0
03/29/24 00:28:00,0
03/29/24 00:29:00,0
03/29/24 00:30:00,0
03/29/24 00:31:00,0
03/29/24 00:32:00,0
03/29/24 00:33:00,0
03/29/24 00:34:00,0
03/29/24 00:35:00,0
03/29/24 00:36:00,0
03/29/24 00:37:00,0
03/29/24 00:38:00,0
03/29/24 00:39:00,0
03/29/24 00:40:00,0
03/29/24 00:41:00,0
03/29/24 00:42:00,0
03/29/24 00:43:00,0
03/29/24 00:44:00,0
03/29/24 00:45:00,0
03/29/24 00:46:00,0
03/29/24 00:47:00,0
03/29/24 00:48:00,0
03/29/24 00:49:00,0
03/29/24 00:50:00,0
03/29/24 00:51:00,0
03/29/24 00:52:00,0
03/29/24 00:53:00,0
03/29/24 00:54:00,0
03/29/24 00:55:00,0
03/29/24 00:56:00,0
03/29/24 00:57:00,0
03/29/24 00:58:00,0
03/29/24 00:59:00,0
03/29/24 01:00:00,0
03/29/24 01:01:00,0
03/29/24 01:02:00,0
03/29/24 01:03:00,0
03/29/24 01:04:00,0
03/29/24 01:05:00,0
03/29/24 01:06:00,0
03/29/24 01:07:00,0
03/29/24 01:08:00,0
03/29/24 01:09:00,0
03/29/24 01:10:00,0
03/29/24 01:11:00,0
03/29/24 01:12:00,0
03/29/24 01:13:00,0
03/29/24 01:14:00,0
03/29/24 01:15:00,0
03/29/24 01:16:00,0
03/29/24 01:17:00,0
03/29/24 01:18:00,0
03/29/24 01:19:00,0
03/29/24 01:20:00,0
03/29/24 01:21:00,0
03/29/24 01:22:00,0
03/29/24 01:23:00,0
03/29/24 01:24:00,0
03/29/24 01:25:00,0
03/29/24 01:26:00,0
03/29/24 01:27:00,0
03/29/24 01:28:00,0
03/29/24 01:29:00,0
03/29/24 01:30:00,0
03/29/24 01:31:00,0
03/29/24 01:32:00,0
03/29/24 01:33:00,0
03/29/24 01:34:00,0
03/29/24 01:35:00,0
03/29/24 01:36:00,0
03/29/24 01:37:00,0
03/29/24 01:38:00,0
03/29/24 01:39:00,0
03/29/24 01:40:00,0
03/29/24 01:41:00,0
03/29/24 01:42:00,0
03/29/24 01:43:00,0
03/29/24 01:44:00,0
03/29/24 01:45:00,0
03/29/24 01:46:00,0
03/29/24 01:47:00,0
03/29/24 01:48:00,0
03/29/24 01:49:00,0
03/29/24 01:50:00,0
03/29/24 01:51:00,0
03/29/24 01:52:00,0
03/29/24 01:53:00,0
03/29/24 01:54:00,0
03/29/24 01:55:00,0
03/29/24 01:56:00,0
03/29/24 01:57:00,0
03/29/24 01:58:00,0
03/29/24 01:59:00,0
03/29/24 02:00:00,0
03/29/24 02:01:00,0
03/29/24 02:02:00,0
03/29/24 02:03:00,0
03/29/24 02:04:00,0
03/29/24 02:05:00,0
03/29/24 02:06:00,0
03/29/24 02:07:00,0
03/29/24 02:08:00,0
03/29/24 02:09:02,0
03/29/24 02:10:02,0
03/29/24 02:11:02,0
03/29/24 02:12:02,0
03/29/24 02:13:02,0
03/29/24 02:14:04,0
03/29/24 02:15:04,0
03/29/24 02:16:04,0
03/29/24 02:17:04,0
03/29/24 02:18:04,0
03/29/24 02:19:04,0
03/29/24 02:20:04,0
03/29/24 02:21:04,0
03/29/24 02:22:04,0
03/29/24 02:23:04,0
03/29/24 02:24:04,0
03/29/24 08:01:03,0
03/29/24 15:55:30,8
03/29/24 15:56:30,-6
03/29/24 15:57:30,22
03/29/24 15:58:30,0
03/29/24 15:59:30,-5
03/29/24 16:01:14,0
03/29/24 16:02:14,-5
03/29/24 16:03:14,21
03/29/24 16:04:14,4
03/29/24 16:05:14,0
03/29/24 16:06:14,13
03/29/24 16:07:14,34
03/29/24 16:08:14,0
03/29/24 16:09:14,0
03/29/24 16:10:14,-34
03/29/24 16:11:14,1
03/29/24 16:12:14,13
03/29/24 16:13:14,-23
03/29/24 16:14:14,0
03/29/24 16:15:14,6
03/29/24 16:16:14,17
03/29/24 16:17:14,0
03/29/24 16:18:14,15
03/29/24 16:19:14,-39
03/29/24 16:20:14,6
03/29/24 16:21:14,0
03/29/24 16:22:14,0
03/29/24 16:23:14,-1
03/29/24 16:24:14,-9
03/29/24 16:25:14,0
03/29/24 16:26:14,0
03/29/24 16:27:14,0
03/29/24 16:28:14,9
03/29/24 16:29:14,2
03/29/24 16:30:14,26
03/29/24 16:31:14,-32
03/29/24 16:32:14,-16
03/29/24 16:33:14,0
03/29/24 16:34:14,0
03/29/24 16:35:14,0
03/29/24 16:36:14,-27
