timestamp,Infrared to Red Signal Ratio
07/28/22 00:22:30,0
07/28/22 00:23:30,0
07/28/22 00:24:30,0
07/28/22 00:25:30,0
07/28/22 00:26:30,0
07/28/22 00:27:31,0
07/28/22 00:28:31,0
07/28/22 00:29:31,0
07/28/22 00:30:31,0
07/28/22 00:31:31,0
07/28/22 00:32:31,3
07/28/22 00:33:31,0
07/28/22 00:34:31,-16
07/28/22 00:35:31,-4
07/28/22 00:36:31,0
07/28/22 00:37:31,6
07/28/22 00:38:31,11
07/28/22 00:39:31,-6
07/28/22 00:40:31,0
07/28/22 00:41:31,0
07/28/22 00:42:31,-3
07/28/22 00:43:31,0
07/28/22 00:44:31,27
07/28/22 00:45:31,0
07/28/22 00:46:31,-3
07/28/22 00:47:31,-3
07/28/22 00:48:32,0
07/28/22 00:49:32,-17
07/28/22 00:50:32,4
07/28/22 00:51:32,-21
07/28/22 00:52:32,0
07/28/22 00:53:32,-11
07/28/22 00:54:32,0
07/28/22 00:55:32,-1
07/28/22 00:56:32,21
07/28/22 00:57:32,0
07/28/22 00:58:32,18
07/28/22 00:59:32,-1
07/28/22 01:00:32,-5
07/28/22 01:01:32,6
07/28/22 01:02:32,-18
07/28/22 01:03:32,-9
07/28/22 01:04:32,18
07/28/22 01:05:33,-4
07/28/22 01:06:34,3
07/28/22 01:07:34,20
07/28/22 01:08:34,0
07/28/22 01:09:34,2
07/28/22 01:10:34,0
07/28/22 01:11:34,0
07/28/22 01:12:34,1
07/28/22 01:13:34,37
07/28/22 01:14:34,0
07/28/22 01:15:34,2
07/28/22 01:16:36,-5
07/28/22 01:17:36,9
07/28/22 01:18:36,-1
07/28/22 01:19:36,0
07/28/22 01:20:36,0
07/28/22 01:21:36,-6
07/28/22 01:22:36,0
07/28/22 01:23:36,0
07/28/22 01:24:36,3
07/28/22 01:25:36,20
07/28/22 01:26:36,11
07/28/22 01:27:36,0
07/28/22 01:28:36,14
07/28/22 01:29:36,6
07/28/22 01:30:36,0
07/28/22 01:31:36,0
07/28/22 01:32:36,0
07/28/22 01:33:36,0
07/28/22 01:34:36,1
07/28/22 01:35:36,-18
07/28/22 01:36:36,-13
07/28/22 01:37:36,0
07/28/22 01:38:36,-4
07/28/22 01:39:36,-31
07/28/22 01:40:36,13
07/28/22 01:41:36,26
07/28/22 01:42:36,3
07/28/22 01:43:36,-11
07/28/22 01:44:36,2
07/28/22 01:45:36,0
07/28/22 01:46:36,4
07/28/22 01:47:36,0
07/28/22 01:48:36,0
07/28/22 01:49:37,10
07/28/22 01:50:37,-18
07/28/22 01:51:37,0
07/28/22 01:52:37,0
07/28/22 01:53:37,0
07/28/22 01:54:37,-12
07/28/22 01:55:37,-2
07/28/22 01:56:37,8
07/28/22 01:57:37,-7
07/28/22 01:58:37,10
07/28/22 01:59:37,0
07/28/22 02:00:37,-27
07/28/22 02:01:37,68
07/28/22 02:02:37,0
07/28/22 02:03:39,0
07/28/22 02:04:39,5
07/28/22 02:05:39,0
07/28/22 02:06:39,0
07/28/22 02:07:39,3
07/28/22 02:08:39,0
07/28/22 02:09:39,0
07/28/22 02:10:39,3
07/28/22 02:11:39,0
07/28/22 02:12:39,0
07/28/22 02:13:39,15
07/28/22 02:14:39,-5
07/28/22 02:15:39,0
07/28/22 02:16:39,0
07/28/22 02:17:39,0
07/28/22 02:18:39,0
07/28/22 02:19:39,0
07/28/22 02:20:39,0
07/28/22 02:21:39,0
07/28/22 02:22:39,10
07/28/22 02:23:39,4
07/28/22 02:24:39,0
07/28/22 02:25:39,0
07/28/22 02:26:39,0
07/28/22 02:27:39,-10
07/28/22 02:28:39,0
07/28/22 02:29:39,2
07/28/22 02:30:40,0
07/28/22 02:31:40,-8
