timestamp,Infrared to Red Signal Ratio
06/29/22 10:05:31,0
06/29/22 10:06:31,0
06/29/22 10:07:31,0
06/29/22 10:08:31,0
06/29/22 10:09:31,0
06/29/22 10:10:31,0
06/29/22 10:11:31,0
06/29/22 11:56:41,5
06/29/22 11:57:41,-6
06/29/22 11:58:41,3
06/29/22 11:59:41,-21
06/29/22 12:00:41,0
06/29/22 12:01:41,0
06/29/22 12:02:41,0
06/29/22 12:03:41,4
06/29/22 12:04:41,-13
06/29/22 12:05:41,0
06/29/22 12:06:41,0
06/29/22 12:07:41,4
06/29/22 12:08:41,0
06/29/22 12:09:41,3
06/29/22 12:10:41,0
06/29/22 12:11:41,-4
06/29/22 12:12:41,17
06/29/22 12:13:41,18
06/29/22 12:14:43,2
06/29/22 12:15:43,-20
06/29/22 12:16:43,-4
06/29/22 12:17:43,-11
06/29/22 12:18:43,23
06/29/22 12:19:43,0
06/29/22 12:20:43,19
06/29/22 12:21:43,11
06/29/22 12:22:43,0
06/29/22 12:23:43,-8
06/29/22 12:24:43,0
06/29/22 12:25:43,-8
06/29/22 12:26:43,0
06/29/22 12:27:43,-23
06/29/22 12:28:43,31
06/29/22 12:29:43,-4
06/29/22 12:30:43,0
06/29/22 12:31:43,-1
