timestamp,Infrared to Red Signal Ratio
07/11/22 08:04:19,0
07/11/22 10:26:14,0
07/11/22 10:27:14,-8
07/11/22 10:28:14,-43
07/11/22 10:29:14,-49
07/11/22 10:30:15,13
07/11/22 10:31:15,-1
07/11/22 10:32:15,-3
07/11/22 10:33:15,0
07/11/22 10:34:15,10
07/11/22 10:35:15,3
07/11/22 10:36:15,0
07/11/22 10:37:15,3
07/11/22 10:38:15,-5
07/11/22 10:39:15,-1
07/11/22 10:40:15,0
07/11/22 10:41:15,-1
07/11/22 10:42:15,-16
07/11/22 10:43:15,-5
07/11/22 10:44:15,3
07/11/22 10:45:15,-7
07/11/22 10:46:15,4
07/11/22 10:47:15,-1
07/11/22 10:48:16,-8
07/11/22 10:49:16,26
07/11/22 10:50:16,-2
07/11/22 10:51:16,-8
07/11/22 10:52:16,0
07/11/22 10:53:16,0
07/11/22 10:54:16,0
07/11/22 10:55:16,0
07/11/22 10:56:16,0
07/11/22 10:57:16,0
07/11/22 10:58:16,0
07/11/22 10:59:16,0
07/11/22 11:00:16,0
07/11/22 11:01:16,0
07/11/22 11:02:16,0
07/11/22 11:03:16,0
07/11/22 11:04:16,0
07/11/22 11:05:16,0
07/11/22 11:06:16,0
07/11/22 11:07:16,0
07/11/22 11:08:16,0
07/11/22 11:09:16,0
07/11/22 11:10:16,0
07/11/22 11:11:16,0
07/11/22 11:12:16,0
07/11/22 11:13:16,0
07/11/22 11:14:16,0
07/11/22 11:15:16,0
07/11/22 11:16:17,0
07/11/22 11:17:17,0
07/11/22 11:18:17,0
07/11/22 11:19:17,0
07/11/22 11:20:17,0
07/11/22 11:21:17,0
07/11/22 11:22:17,4
07/11/22 11:23:17,-8
07/11/22 11:24:17,-5
07/11/22 11:25:17,0
07/11/22 11:26:17,-20
07/11/22 11:27:17,0
07/11/22 11:28:17,4
07/11/22 11:29:17,-34
07/11/22 11:30:17,0
07/11/22 11:31:17,0
07/11/22 11:32:17,15
07/11/22 11:33:17,-23
07/11/22 11:34:17,-8
07/11/22 11:35:17,0
07/11/22 11:36:17,0
07/11/22 11:37:17,0
07/11/22 11:38:17,0
07/11/22 11:39:17,0
07/11/22 11:40:17,0
07/11/22 11:41:17,7
07/11/22 11:42:17,-5
07/11/22 11:43:17,0
07/11/22 11:44:17,-4
07/11/22 11:45:17,0
07/11/22 11:46:17,0
07/11/22 11:47:17,0
07/11/22 11:48:17,0
07/11/22 11:49:17,0
07/11/22 11:50:17,0
07/11/22 11:51:17,0
07/11/22 11:52:17,0
07/11/22 11:53:17,4
07/11/22 11:54:17,-4
07/11/22 11:55:17,0
07/11/22 11:56:17,0
07/11/22 11:57:17,0
07/11/22 11:58:17,0
07/11/22 11:59:17,0
07/11/22 12:00:17,0
07/11/22 12:01:17,0
07/11/22 12:02:17,0
07/11/22 12:03:18,0
07/11/22 12:04:18,0
07/11/22 12:05:18,0
07/11/22 12:06:18,0
07/11/22 12:07:18,0
07/11/22 12:08:18,0
07/11/22 12:09:18,0
07/11/22 12:10:18,0
07/11/22 12:11:18,0
07/11/22 12:12:18,0
07/11/22 12:13:18,0
07/11/22 12:14:18,0
07/11/22 12:15:18,0
07/11/22 12:16:18,0
07/11/22 12:17:18,0
07/11/22 12:18:18,0
07/11/22 12:19:18,0
07/11/22 12:20:18,0
07/11/22 12:21:18,0
07/11/22 12:22:18,0
07/11/22 12:23:18,0
07/11/22 12:24:18,0
07/11/22 12:25:18,0
07/11/22 12:26:18,0
07/11/22 12:27:18,0
07/11/22 12:28:18,0
07/11/22 12:29:18,0
07/11/22 12:30:18,0
07/11/22 12:31:18,0
07/11/22 12:32:18,0
07/11/22 12:33:18,0
07/11/22 12:34:18,0
07/11/22 12:35:18,0
07/11/22 12:36:18,0
07/11/22 12:37:18,0
07/11/22 12:38:18,0
07/11/22 12:39:18,0
07/11/22 12:40:18,0
07/11/22 12:41:18,0
07/11/22 12:42:18,0
07/11/22 12:43:18,0
07/11/22 12:44:27,0
07/11/22 12:45:27,0
07/11/22 12:46:27,42
07/11/22 12:47:27,0
07/11/22 12:48:27,0
07/11/22 12:49:27,-4
07/11/22 12:50:27,-1
07/11/22 12:51:27,11
07/11/22 12:52:27,9
07/11/22 12:53:27,0
07/11/22 12:54:27,0
07/11/22 12:55:27,0
07/11/22 12:56:33,0
07/11/22 12:57:39,0
07/11/22 12:58:45,0
07/11/22 12:59:51,0
07/11/22 13:00:57,0
07/11/22 13:02:03,0
07/11/22 13:03:09,0
07/11/22 13:04:15,0
07/11/22 13:05:21,0
07/11/22 13:06:27,0
07/11/22 13:07:33,0
07/11/22 13:08:33,0
07/11/22 13:09:39,0
07/11/22 13:10:45,0
07/11/22 13:11:45,0
07/11/22 13:12:50,0
07/11/22 13:13:50,0
07/11/22 13:14:50,0
07/11/22 13:15:50,0
07/11/22 13:16:50,0
07/11/22 13:17:50,11
07/11/22 13:18:50,-1
07/11/22 13:19:50,22
07/11/22 13:20:50,4
07/11/22 13:21:50,-1
07/11/22 13:22:50,0
07/11/22 13:23:50,0
07/11/22 13:24:50,0
07/11/22 13:25:50,17
07/11/22 13:26:50,-1
07/11/22 13:27:50,-12
07/11/22 13:28:50,0
07/11/22 13:29:50,0
07/11/22 13:30:50,-8
07/11/22 13:31:50,7
07/11/22 13:32:50,0
07/11/22 13:33:50,22
07/11/22 13:34:50,1
07/11/22 13:35:50,0
07/11/22 13:36:50,-7
07/11/22 13:37:50,19
07/11/22 13:38:50,-14
07/11/22 13:39:50,-9
07/11/22 13:40:50,-2
07/11/22 13:41:50,0
07/11/22 13:42:50,0
07/11/22 13:43:50,25
07/11/22 13:44:50,-4
07/11/22 13:45:50,-2
07/11/22 13:46:50,0
07/11/22 13:47:50,0
07/11/22 13:48:50,0
07/11/22 13:49:50,0
07/11/22 13:50:50,0
07/11/22 13:51:50,0
07/11/22 13:52:50,0
07/11/22 13:53:50,0
07/11/22 13:54:50,0
07/11/22 13:55:50,0
07/11/22 13:56:50,0
07/11/22 13:57:50,0
07/11/22 13:58:50,0
07/11/22 13:59:50,0
07/11/22 14:00:50,0
07/11/22 14:01:50,0
07/11/22 14:02:50,0
07/11/22 14:03:50,0
07/11/22 14:04:50,0
07/11/22 14:05:50,0
07/11/22 14:06:50,0
07/11/22 14:07:50,0
07/11/22 14:08:50,0
07/11/22 14:09:50,0
07/11/22 14:10:50,0
07/11/22 14:11:50,0
07/11/22 14:12:52,0
07/11/22 14:13:52,12
07/11/22 14:14:52,18
07/11/22 14:15:52,4
07/11/22 14:16:52,-1
07/11/22 14:17:52,0
07/11/22 14:18:52,43
07/11/22 14:19:52,0
07/11/22 14:20:52,0
07/11/22 14:21:52,-1
07/11/22 14:22:52,0
07/11/22 14:23:52,9
07/11/22 14:24:52,0
07/11/22 14:25:52,8
07/11/22 14:26:52,-20
07/11/22 14:27:52,49
07/11/22 14:28:52,0
07/11/22 14:29:52,-16
07/11/22 14:30:52,8
07/11/22 14:31:52,0
07/11/22 14:32:52,10
07/11/22 14:33:52,-8
07/11/22 14:34:52,8
07/11/22 14:35:52,-2
07/11/22 14:36:52,-25
07/11/22 14:37:52,-48
07/11/22 14:38:52,0
07/11/22 14:39:52,-1
07/11/22 14:40:52,-9
07/11/22 14:41:52,0
07/11/22 14:42:52,-2
07/11/22 14:43:52,0
07/11/22 14:44:52,9
07/11/22 14:45:52,0
07/11/22 14:46:52,30
07/11/22 14:47:52,-5
07/11/22 14:48:52,21
07/11/22 14:49:52,-4
07/11/22 14:50:52,4
07/11/22 14:51:52,0
07/11/22 14:52:52,-4
07/11/22 14:53:52,2
07/11/22 14:54:52,-32
07/11/22 14:55:52,0
07/11/22 14:56:52,0
07/11/22 14:57:52,14
07/11/22 14:58:52,-8
07/11/22 14:59:52,0
07/11/22 15:00:52,0
07/11/22 15:01:52,-3
07/11/22 15:02:52,0
07/11/22 15:03:52,0
07/11/22 15:04:52,7
07/11/22 15:05:52,0
