timestamp,Infrared to Red Signal Ratio
06/28/22 10:58:45,1
06/28/22 10:59:45,0
06/28/22 11:00:45,4
06/28/22 11:01:45,15
06/28/22 11:02:45,29
06/28/22 11:03:45,3
06/28/22 11:04:45,1
06/28/22 11:05:45,-4
06/28/22 11:06:45,0
06/28/22 11:07:45,13
06/28/22 11:08:45,0
06/28/22 11:09:45,29
06/28/22 11:10:45,21
06/28/22 11:11:45,0
06/28/22 11:12:45,0
06/28/22 11:13:45,-4
06/28/22 11:14:45,0
06/28/22 11:15:45,17
06/28/22 11:16:45,16
06/28/22 11:17:45,-2
06/28/22 11:18:45,1
06/28/22 11:19:45,-17
06/28/22 11:20:45,-5
06/28/22 11:21:45,0
06/28/22 11:22:45,0
06/28/22 11:23:45,0
06/28/22 11:24:51,0
06/28/22 11:25:57,0
06/28/22 11:27:03,0
06/28/22 11:28:09,0
06/28/22 13:07:22,0
06/28/22 13:08:22,0
06/28/22 13:09:22,6
06/28/22 13:10:22,2
06/28/22 13:11:22,4
06/28/22 13:12:22,-18
06/28/22 13:13:22,0
06/28/22 13:14:22,-2
06/28/22 13:15:22,0
06/28/22 13:16:22,0
06/28/22 13:17:22,1
06/28/22 13:18:22,-4
06/28/22 13:19:22,-48
06/28/22 13:20:22,7
06/28/22 13:21:22,-4
06/28/22 13:22:22,-4
06/28/22 13:23:22,-10
06/28/22 13:24:22,-8
06/28/22 13:25:22,39
06/28/22 13:26:22,0
06/28/22 13:27:28,2
06/28/22 13:28:28,0
06/28/22 15:04:38,0
06/28/22 15:05:38,0
06/28/22 15:16:44,0
06/28/22 15:17:44,0
06/28/22 15:18:44,2
06/28/22 15:19:44,0
06/28/22 15:20:44,-13
06/28/22 15:21:44,0
06/28/22 15:22:44,1
06/28/22 15:23:44,1
06/28/22 15:24:44,4
06/28/22 15:25:44,0
06/28/22 15:26:44,32
06/28/22 15:27:44,0
06/28/22 15:28:44,13
06/28/22 15:29:44,-8
06/28/22 15:30:44,0
06/28/22 15:31:44,18
06/28/22 15:32:44,0
06/28/22 15:33:44,31
06/28/22 15:34:52,7
06/28/22 15:36:31,0
06/28/22 15:38:26,2
06/28/22 15:39:26,-2
06/28/22 15:40:26,12
06/28/22 15:41:26,0
06/28/22 15:42:26,7
06/28/22 15:43:26,0
06/28/22 15:44:26,16
06/28/22 15:45:26,9
06/28/22 15:46:26,0
06/28/22 15:47:26,36
06/28/22 15:48:26,-22
06/28/22 15:49:26,-16
06/28/22 15:50:26,-33
06/28/22 15:51:26,0
06/28/22 15:52:26,0
