timestamp,Infrared to Red Signal Ratio
03/13/24 09:01:07,0
03/13/24 10:10:18,0
03/13/24 10:11:18,-7
03/13/24 10:12:18,-18
03/13/24 10:13:18,1
03/13/24 10:14:18,-33
03/13/24 10:15:18,1
03/13/24 10:16:18,0
03/13/24 10:17:18,0
03/13/24 10:18:18,2
03/13/24 10:19:18,13
03/13/24 10:20:18,-1
03/13/24 10:21:18,-43
03/13/24 10:22:18,-3
03/13/24 10:23:20,24
03/13/24 10:24:20,-1
03/13/24 10:25:20,-37
03/13/24 10:26:20,-3
03/13/24 10:27:20,0
03/13/24 10:28:20,5
03/13/24 10:29:20,17
03/13/24 10:30:20,9
03/13/24 10:31:20,-21
03/13/24 10:32:20,-14
03/13/24 10:33:20,-8
03/13/24 10:34:20,-17
03/13/24 10:35:20,0
03/13/24 10:36:20,22
03/13/24 10:37:20,-8
03/13/24 10:38:20,0
03/13/24 10:39:20,1
03/13/24 10:40:20,0
03/13/24 10:41:20,4
03/13/24 10:42:20,36
03/13/24 10:43:20,23
03/13/24 10:44:20,0
03/13/24 10:45:20,-4
03/13/24 10:57:51,-3
03/13/24 10:58:51,16
03/13/24 10:59:51,4
03/13/24 11:00:51,4
03/13/24 11:01:51,0
03/13/24 11:02:51,4
03/13/24 11:03:51,13
03/13/24 11:04:51,-1
03/13/24 11:05:51,-2
03/13/24 11:06:51,-52
03/13/24 11:07:51,-4
03/13/24 11:08:51,0
03/13/24 11:09:51,-8
03/13/24 11:10:51,1
03/13/24 11:11:51,-5
03/13/24 11:12:51,5
03/13/24 11:13:51,-2
03/13/24 11:14:51,-12
03/13/24 11:15:51,-9
03/13/24 11:16:51,12
03/13/24 11:17:51,-8
03/13/24 11:18:51,-4
03/13/24 11:19:51,-4
03/13/24 11:20:51,-5
03/13/24 11:21:51,2
03/13/24 11:22:51,13
03/13/24 11:23:51,0
03/13/24 11:24:51,26
03/13/24 11:25:51,2
03/13/24 11:26:51,-46
03/13/24 11:27:51,4
03/13/24 11:28:51,3
03/13/24 11:29:51,5
03/13/24 11:30:51,-2
03/13/24 11:31:51,0
03/13/24 11:32:51,0
03/13/24 11:33:51,-7
03/13/24 11:34:51,-3
03/13/24 11:35:51,-28
03/13/24 11:36:51,0
03/13/24 11:37:51,15
03/13/24 11:38:51,-1
03/13/24 11:39:51,-1
03/13/24 11:40:51,-24
03/13/24 11:41:51,-13
03/13/24 11:42:51,10
03/13/24 11:43:51,-29
03/13/24 11:44:51,13
03/13/24 11:45:51,-8
03/13/24 11:46:51,-49
03/13/24 11:47:51,5
03/13/24 11:48:51,-2
03/13/24 11:49:51,-51
03/13/24 11:50:51,0
03/13/24 11:51:51,-13
03/13/24 11:52:51,-61
03/13/24 11:53:51,0
03/13/24 11:54:51,-8
03/13/24 11:55:51,-43
03/13/24 11:56:51,22
03/13/24 11:57:51,0
03/13/24 11:58:51,-39
03/13/24 11:59:51,-64
03/13/24 12:00:51,-43
03/13/24 12:01:51,-55
03/13/24 12:02:51,-30
03/13/24 12:03:51,-11
03/13/24 12:04:51,48
03/13/24 12:05:51,12
03/13/24 12:06:51,0
03/13/24 12:07:51,-24
03/13/24 12:08:51,-13
03/13/24 12:09:51,-10
03/13/24 12:10:51,-7
03/13/24 12:11:51,-26
03/13/24 12:12:51,4
03/13/24 12:13:51,0
03/13/24 12:14:51,0
03/13/24 12:15:51,0
03/13/24 12:16:51,0
03/13/24 12:17:51,0
03/13/24 12:18:51,0
03/13/24 12:19:51,0
03/13/24 12:20:51,0
03/13/24 12:21:51,0
03/13/24 12:22:51,0
03/13/24 12:23:51,0
03/13/24 12:24:51,0
03/13/24 12:25:51,0
03/13/24 12:26:51,0
03/13/24 12:27:51,0
03/13/24 12:28:51,0
03/13/24 12:29:51,0
03/13/24 12:30:51,0
03/13/24 12:31:51,0
03/13/24 12:32:51,0
03/13/24 12:33:51,0
03/13/24 12:34:51,0
03/13/24 12:35:51,0
03/13/24 12:36:51,-52
03/13/24 12:37:51,0
03/13/24 12:38:51,-13
