timestamp,Infrared to Red Signal Ratio
07/09/22 12:13:04,0
07/09/22 12:14:04,0
07/09/22 12:15:05,0
07/09/22 12:16:05,0
07/09/22 12:17:05,0
07/09/22 12:18:05,0
07/09/22 12:19:05,0
07/09/22 12:20:05,0
07/09/22 12:21:05,0
07/09/22 12:22:11,0
07/09/22 12:23:17,0
07/09/22 12:24:23,0
07/09/22 12:25:29,0
07/09/22 12:26:35,0
07/09/22 12:27:41,0
07/09/22 12:28:47,0
07/09/22 12:29:53,0
07/09/22 12:30:59,0
07/09/22 12:32:05,0
07/09/22 12:33:11,0
07/09/22 12:34:17,0
07/09/22 12:35:17,0
07/09/22 12:36:23,0
07/09/22 12:37:29,0
07/09/22 12:38:29,0
07/09/22 12:39:29,0
07/09/22 12:40:29,-2
07/09/22 12:41:29,0
07/09/22 12:42:29,0
07/09/22 12:43:29,0
07/09/22 12:44:29,-2
07/09/22 12:45:29,-5
07/09/22 12:46:29,0
07/09/22 12:47:30,-1
07/09/22 12:48:30,1
07/09/22 12:49:30,-11
07/09/22 12:50:30,-9
07/09/22 12:51:30,0
07/09/22 12:52:30,0
07/09/22 12:53:30,-27
07/09/22 12:54:31,-21
07/09/22 12:55:31,-9
07/09/22 12:56:31,2
07/09/22 12:57:31,12
07/09/22 12:58:31,-6
07/09/22 12:59:31,0
07/09/22 13:00:31,0
07/09/22 13:01:31,1
07/09/22 13:02:31,0
07/09/22 13:03:31,11
07/09/22 13:04:31,5
07/09/22 13:05:31,-4
07/09/22 13:06:31,-4
07/09/22 13:07:31,-17
07/09/22 13:08:31,4
07/09/22 13:09:31,0
07/09/22 13:10:31,5
07/09/22 13:11:31,-1
07/09/22 13:12:31,-12
07/09/22 13:13:31,2
07/09/22 13:14:31,-13
07/09/22 13:15:31,0
07/09/22 13:16:31,0
07/09/22 13:17:31,-16
07/09/22 13:18:31,13
07/09/22 13:19:31,7
07/09/22 13:20:31,17
07/09/22 13:21:31,27
07/09/22 13:22:31,18
07/09/22 13:23:31,-1
07/09/22 13:24:31,-11
07/09/22 13:25:31,13
07/09/22 13:26:31,-21
07/09/22 13:27:31,6
07/09/22 13:28:31,3
07/09/22 13:29:31,-2
07/09/22 13:30:32,0
07/09/22 13:31:32,0
07/09/22 13:32:32,0
07/09/22 13:33:32,2
07/09/22 13:34:32,-8
07/09/22 13:35:36,0
07/09/22 13:36:36,0
07/09/22 13:37:36,0
07/09/22 13:38:36,-13
07/09/22 13:39:36,-9
07/09/22 13:40:36,0
07/09/22 13:41:36,0
07/09/22 13:42:36,0
07/09/22 13:43:36,0
07/09/22 13:44:36,13
07/09/22 13:45:36,0
07/09/22 13:46:43,8
07/09/22 13:47:43,0
07/09/22 13:48:43,0
07/09/22 13:49:43,0
07/09/22 13:50:43,0
07/09/22 14:07:40,0
07/09/22 14:08:40,0
07/09/22 14:09:40,0
07/09/22 14:22:01,-13
07/09/22 14:23:01,-17
07/09/22 14:24:01,-19
07/09/22 14:25:01,24
07/09/22 14:26:01,6
07/09/22 14:27:01,-4
07/09/22 14:28:01,-8
07/09/22 14:29:01,-1
07/09/22 14:30:01,0
07/09/22 14:31:01,-19
07/09/22 14:32:01,-1
07/09/22 14:33:01,1
07/09/22 14:34:01,5
07/09/22 14:35:01,0
07/09/22 14:36:01,-17
07/09/22 14:37:01,-15
07/09/22 14:38:01,2
07/09/22 14:39:01,-19
07/09/22 14:40:01,22
07/09/22 14:41:01,14
07/09/22 14:42:01,0
07/09/22 14:43:01,-1
07/09/22 14:44:01,-2
07/09/22 14:45:01,0
07/09/22 14:46:01,25
07/09/22 14:47:01,0
07/09/22 14:48:01,6
07/09/22 14:49:01,2
07/09/22 14:50:01,-10
07/09/22 14:51:01,-7
07/09/22 14:52:01,29
07/09/22 14:53:01,5
07/09/22 14:54:01,0
07/09/22 14:55:01,13
07/09/22 14:56:01,0
